Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
121692-89644,RB,Isaac,Isaac Guerendo,Guerendo,0,4,1000,1500,ATL@SF,SF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
121692-175021,RB,Jordan,Jordan James,James,,0,1000,1500,ATL@SF,SF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
121692-55088,WR,Malik,Malik Turner,Turner,0,1,1000,1500,ATL@SF,SF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
121692-72627,RB,Patrick,Patrick Taylor Jr.,Taylor Jr.,6.259999847412109,5,1000,1500,ATL@SF,SF,ATL,IR,Shoulder,,,,MVP - 1.5X Points/AnyFLEX
121692-52916,WR,Russell,Russell Gage Jr.,Gage Jr.,,0,1000,1500,ATL@SF,SF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
121692-104117,TE,Joshua,Joshua Simon,Simon,,0,1000,1500,ATL@SF,ATL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
121692-71351,TE,Charlie,Charlie Woerner,Woerner,0,2,1000,1500,ATL@SF,ATL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
121692-69302,TE,Feleipe,Feleipe Franks,Franks,0.20000000298023224,1,1000,1500,ATL@SF,ATL,SF,Q,Calf,,,,MVP - 1.5X Points/AnyFLEX
121692-86081,QB,Emory,Emory Jones,Jones,,0,1000,1500,ATL@SF,ATL,SF,IR,Concussion,,,,MVP - 1.5X Points/AnyFLEX
121692-174148,RB,Carlos,Carlos Washington Jr.,Washington Jr.,,0,1000,1500,ATL@SF,ATL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
121692-86612,TE,Brayden,Brayden Willis,Willis,0,1,1000,1500,ATL@SF,SF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
121692-138196,K,Ben,Ben Sauls,Sauls,,0,1000,1500,ATL@SF,ATL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
121692-86747,WR,Dylan,Dylan Drummond,Drummond,,0,1000,1500,ATL@SF,ATL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
121692-147168,WR,Chris,Chris Blair,Blair,1.100000023841858,2,1000,1500,ATL@SF,ATL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
121692-93026,TE,Teagan,Teagan Quitoriano,Quitoriano,0,2,1000,1500,ATL@SF,ATL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
121692-114530,WR,Jacob,Jacob Cowing,Cowing,0.5799999872843424,15,1000,1500,ATL@SF,SF,ATL,IR,Hamstring,,,,MVP - 1.5X Points/AnyFLEX
121692-90981,QB,Adrian,Adrian Martinez,Martinez,,0,1000,1500,ATL@SF,SF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
121692-79979,WR,Jamal,Jamal Agnew,Agnew,0,3,1000,1500,ATL@SF,ATL,SF,,,,,,MVP - 1.5X Points/AnyFLEX
121692-104054,RB,Sincere,Sincere McCormick,McCormick,6.050000190734863,4,1000,1500,ATL@SF,SF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
121692-134014,WR,Jordan,Jordan Watkins,Watkins,,0,1000,1500,ATL@SF,SF,ATL,,,,,,MVP - 1.5X Points/AnyFLEX
